serial_no,floor_level,zone_id,Date,Month,ta,lux,spl
416C1935,30,8,2019/10/1,10,23.53,0,44
416C1935,30,8,2019/10/1,10,23.53,0,44
416C1935,30,8,2019/10/1,10,23.53,0,44
416C1935,30,8,2019/10/1,10,23.53,0,44
416C1935,30,8,2019/10/1,10,23.52,0,44
416C1935,30,8,2019/10/1,10,23.53,0,44
416C1935,30,8,2019/10/1,10,23.52,0,44
416C1935,30,8,2019/10/1,10,23.52,0,44
416C1935,30,8,2019/10/1,10,23.52,0,44
416C1935,30,8,2019/10/1,10,23.53,0,44
416C1935,30,8,2019/10/1,10,23.52,0,44
416C1935,30,8,2019/10/1,10,23.52,0,44
416C1935,30,8,2019/10/1,10,23.51,0,44
416C1935,30,8,2019/10/1,10,23.51,0,44
416C1935,30,8,2019/10/1,10,23.51,0,44
416C1935,30,8,2019/10/1,10,23.51,0,44
416C1935,30,8,2019/10/1,10,23.5,0,44
416C1935,30,8,2019/10/1,10,23.5,0,44
416C1935,30,8,2019/10/1,10,23.5,0,44
416C1935,30,8,2019/10/1,10,23.49,0,44
416C1935,30,8,2019/10/1,10,23.49,0,44
416C1935,30,8,2019/10/1,10,23.48,0,44
416C1935,30,8,2019/10/1,10,23.48,0,44
416C1935,30,8,2019/10/1,10,23.47,0,44
416C1935,30,8,2019/10/1,10,23.47,0,44
416C1935,30,8,2019/10/1,10,23.47,0,44
416C1935,30,8,2019/10/1,10,23.47,0,44
416C1935,30,8,2019/10/1,10,23.46,0,44
416C1935,30,8,2019/10/1,10,23.46,0,44
416C1935,30,8,2019/10/1,10,23.46,0,44
416C1935,30,8,2019/10/1,10,23.45,0,44
416C1935,30,8,2019/10/1,10,23.45,0,44
416C1935,30,8,2019/10/1,10,23.45,0,44
416C1935,30,8,2019/10/1,10,23.45,0,44
416C1935,30,8,2019/10/1,10,23.44,0,44
416C1935,30,8,2019/10/1,10,23.44,0,44
416C1935,30,8,2019/10/1,10,23.43,0,44
416C1935,30,8,2019/10/1,10,23.44,0,44
416C1935,30,8,2019/10/1,10,23.43,0,44
416C1935,30,8,2019/10/1,10,23.42,0,44
416C1935,30,8,2019/10/1,10,23.42,0,44
416C1935,30,8,2019/10/1,10,23.5,0,44
416C1935,30,8,2019/10/1,10,23.45,0,44
416C1935,30,8,2019/10/1,10,23.43,0,44
416C1935,30,8,2019/10/1,10,23.42,0,44
416C1935,30,8,2019/10/1,10,23.41,0,44
416C1935,30,8,2019/10/1,10,23.4,0,44
416C1935,30,8,2019/10/1,10,23.4,0,44
416C1935,30,8,2019/10/1,10,23.38,0,44
416C1935,30,8,2019/10/1,10,23.38,0,44
416C1935,30,8,2019/10/1,10,23.38,0,44
416C1935,30,8,2019/10/1,10,23.37,0,44
416C1935,30,8,2019/10/1,10,23.38,0,44
416C1935,30,8,2019/10/1,10,23.38,0,44
416C1935,30,8,2019/10/1,10,23.37,0,44
416C1935,30,8,2019/10/1,10,23.36,0,44
416C1935,30,8,2019/10/1,10,23.36,0,44
416C1935,30,8,2019/10/1,10,23.35,0,44
416C1935,30,8,2019/10/1,10,23.35,0,44
416C1935,30,8,2019/10/1,10,23.35,0,44
416C1935,30,8,2019/10/1,10,23.34,0,44
416C1935,30,8,2019/10/1,10,23.34,0,44
416C1935,30,8,2019/10/1,10,23.33,0,44
416C1935,30,8,2019/10/1,10,23.34,0,44
416C1935,30,8,2019/10/1,10,23.34,0,44
416C1935,30,8,2019/10/1,10,23.34,0,44
416C1935,30,8,2019/10/1,10,23.33,0,44
416C1935,30,8,2019/10/1,10,23.33,0,44
416C1935,30,8,2019/10/1,10,23.33,0,44
416C1935,30,8,2019/10/1,10,23.33,0,44
416C1935,30,8,2019/10/1,10,23.32,0,44
416C1935,30,8,2019/10/1,10,23.31,0,44
416C1935,30,8,2019/10/1,10,23.31,0,44
416C1935,30,8,2019/10/1,10,23.31,0,44
416C1935,30,8,2019/10/1,10,23.3,0,44
416C1935,30,8,2019/10/1,10,23.29,0,44
416C1935,30,8,2019/10/1,10,23.3,0,44
416C1935,30,8,2019/10/1,10,23.3,0,44
416C1935,30,8,2019/10/1,10,23.29,0,44
416C1935,30,8,2019/10/1,10,23.3,0,44
416C1935,30,8,2019/10/1,10,23.3,19,44
416C1935,30,8,2019/10/1,10,23.31,71,44
416C1935,30,8,2019/10/1,10,23.32,117,44
416C1935,30,8,2019/10/1,10,23.32,128,44
416C1935,30,8,2019/10/1,10,23.32,133,44
416C1935,30,8,2019/10/1,10,23.3,148,44
416C1935,30,8,2019/10/1,10,23.29,164,44
416C1935,30,8,2019/10/1,10,23.28,174,44
416C1935,30,8,2019/10/1,10,23.27,190,44
416C1935,30,8,2019/10/1,10,23.26,133,44
416C1935,30,8,2019/10/1,10,23.25,133,44
416C1935,30,8,2019/10/1,10,23.23,97,44
416C1935,30,8,2019/10/1,10,23.21,112,44
416C1935,30,8,2019/10/1,10,23.21,164,44
416C1935,30,8,2019/10/1,10,23.21,164,44
416C1935,30,8,2019/10/1,10,23.2,138,44
416C1935,30,8,2019/10/1,10,23.19,154,45
416C1935,30,8,2019/10/1,10,23.16,143,46
416C1935,30,8,2019/10/1,10,23.15,148,45
416C1935,30,8,2019/10/1,10,23.14,154,45
416C1935,30,8,2019/10/1,10,23.14,169,45
416C1935,30,8,2019/10/1,10,23.16,169,45
416C1935,30,8,2019/10/1,10,23.15,143,46
416C1935,30,8,2019/10/1,10,23.2,174,46
416C1935,30,8,2019/10/1,10,23.26,174,47
416C1935,30,8,2019/10/1,10,23.32,190,47
416C1935,30,8,2019/10/1,10,23.36,237,47
416C1935,30,8,2019/10/1,10,23.38,237,48
416C1935,30,8,2019/10/1,10,23.38,216,48
416C1935,30,8,2019/10/1,10,23.42,190,48
416C1935,30,8,2019/10/1,10,23.42,190,48
416C1935,30,8,2019/10/1,10,23.43,195,49
416C1935,30,8,2019/10/1,10,23.43,205,50
416C1935,30,8,2019/10/1,10,23.44,205,48
416C1935,30,8,2019/10/1,10,23.43,211,47
416C1935,30,8,2019/10/1,10,23.43,205,46
416C1935,30,8,2019/10/1,10,23.43,200,46
416C1935,30,8,2019/10/1,10,23.41,180,46
416C1935,30,8,2019/10/1,10,23.37,164,48
416C1935,30,8,2019/10/1,10,23.41,159,47
416C1935,30,8,2019/10/1,10,23.45,159,47
416C1935,30,8,2019/10/1,10,23.49,154,47
416C1935,30,8,2019/10/1,10,23.51,164,46
416C1935,30,8,2019/10/1,10,23.55,174,47
416C1935,30,8,2019/10/1,10,23.58,174,47
416C1935,30,8,2019/10/1,10,23.56,180,48
416C1935,30,8,2019/10/1,10,23.49,195,48
